date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:32:08	17026/17026	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Aug%202018%2006:32:08%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/about/staff4.jpg	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/about/staff4.jpg	(from http://kamleshyadav.com/html/catering/catering-default/about-us.html)
09:32:12	21469/21469	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Aug%202018%2006:32:10%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/dishes/menu2.jpg	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/dishes/menu2.jpg	(from http://kamleshyadav.com/html/catering/catering-default/menu.html)
09:32:12	28825/28825	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Aug%202018%2006:32:10%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/dishes/menu1.jpg	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/dishes/menu1.jpg	(from http://kamleshyadav.com/html/catering/catering-default/menu.html)
09:32:16	56808/56808	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Aug%202018%2006:32:09%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/about/advantage.jpg	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/about/advantage.jpg	(from http://kamleshyadav.com/html/catering/catering-default/about-us.html)
09:32:17	26257/26257	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Aug%202018%2006:32:15%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/dishes/menu4.jpg	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/dishes/menu4.jpg	(from http://kamleshyadav.com/html/catering/catering-default/menu.html)
09:32:17	32051/32051	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Aug%202018%2006:32:14%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/dishes/menu3.jpg	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/dishes/menu3.jpg	(from http://kamleshyadav.com/html/catering/catering-default/menu.html)
09:32:19	22879/22879	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Aug%202018%2006:32:18%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/dishes/menu5.jpg	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/dishes/menu5.jpg	(from http://kamleshyadav.com/html/catering/catering-default/menu.html)
09:32:22	26372/26372	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Aug%202018%2006:32:20%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/dishes/menu7.jpg	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/dishes/menu7.jpg	(from http://kamleshyadav.com/html/catering/catering-default/menu.html)
09:32:23	30859/30859	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Aug%202018%2006:32:19%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/dishes/menu6.jpg	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/dishes/menu6.jpg	(from http://kamleshyadav.com/html/catering/catering-default/menu.html)
09:32:24	31516/31516	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Aug%202018%2006:32:21%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/dishes/menu8.jpg	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/dishes/menu8.jpg	(from http://kamleshyadav.com/html/catering/catering-default/menu.html)
